Reporte de Cambios - 20250521_202952
--------------------------------------------------
Productos Nuevos:
SKU: SKU000001, Nombre: Bata Manga Larga Blanca Talla 12, Inventario: 6, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000002, Nombre: Bata Manga Larga Blanca Talla 14, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000003, Nombre: Bata Manga Larga Blanca Talla 16, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000004, Nombre: Bata Manga Larga Blanca Talla 18, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000005, Nombre: Bata Manga Larga Blanca Talla 20, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000006, Nombre: Bata Manga Larga Blanca Talla 28, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000007, Nombre: Bata Manga Larga Blanca Talla 32, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000008, Nombre: Bata Manga Larga Blanca Talla 34, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000009, Nombre: Bata Manga Larga Blanca Talla 36, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000010, Nombre: Bata Manga Larga Blanca Talla 38, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000011, Nombre: Bata Manga Larga Blanca Talla 40, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000012, Nombre: Bata Manga Larga Blanca Talla 42, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000013, Nombre: Bata Manga Larga Blanca Talla 44, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000014, Nombre: Bata Manga Larga Blanca Talla 46, Inventario: 0, Precio: 439.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000015, Nombre: Bata Manga Corta Blanca Talla 12, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000016, Nombre: Bata Manga Corta Blanca Talla 14, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000017, Nombre: Bata Manga Corta Blanca Talla 16, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000018, Nombre: Bata Manga Corta Blanca Talla 18, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000019, Nombre: Bata Manga Corta Blanca Talla 20, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000020, Nombre: Bata Manga Corta Blanca Talla 28, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000021, Nombre: Bata Manga Corta Blanca Talla 32, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
SKU: SKU000022, Nombre: Bata Manga Corta Blanca Talla 34, Inventario: 0, Precio: 395.0, Escuela: Sin Escuela, Última Modificación: 2025-05-21 19:31:51
