Reporte de Cambios - 20250905_131733
--------------------------------------------------
Productos Nuevos:
SKU: SKU002770, Nombre: Pants 3pz Deportivo Ignacio Ramirez Lopez Talla 6, Inventario: 0, Precio: 575.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-26 11:49:36
SKU: SKU002771, Nombre: Pants 3pz Deportivo Ignacio Ramirez Lopez Talla 8, Inventario: 0, Precio: 575.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-26 11:49:36
SKU: SKU002772, Nombre: Pants 3pz Deportivo Ignacio Ramirez Lopez Talla 10, Inventario: 0, Precio: 585.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-26 11:49:36
SKU: SKU002773, Nombre: Pants 3pz Deportivo Ignacio Ramirez Lopez Talla 12, Inventario: 0, Precio: 585.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-26 11:49:36
SKU: SKU002774, Nombre: Pants 3pz Deportivo Ignacio Ramirez Lopez Talla 14, Inventario: 0, Precio: 595.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-26 11:49:36
SKU: SKU002775, Nombre: Pants 3pz Deportivo Ignacio Ramirez Lopez Talla 16, Inventario: 0, Precio: 595.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-26 11:49:36
SKU: SKU002777, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Benito Juárez, Última Modificación: 2025-05-26 12:11:31
SKU: SKU002778, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Club Rotario, Última Modificación: 2025-05-26 12:11:31
SKU: SKU002780, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Francisco Villa, Última Modificación: 2025-05-26 12:11:31
SKU: SKU002782, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002784, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Ignacio Zaragoza, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002785, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002786, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: José María Morelos, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002788, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Justo Sierra, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002789, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Miguel Campuzano, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002791, Nombre: Chamarra Deportiva Talla 4, Inventario: 0, Precio: 325.0, Escuela: Niños Héroes, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002794, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Benito Juárez, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002795, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Club Rotario, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002797, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Francisco Villa, Última Modificación: 2025-05-26 12:11:32
SKU: SKU002799, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-26 12:11:32
